"","hom_ref","het","hom_alt","N.A"
"LN-T28_F",167,1,5,0
"LN-T27_F",165,4,4,0
"LN-T22_M",56,109,8,0
"LN-T20_M",69,102,1,1
"LN-T18b_M",67,101,5,0
"LN-T17b_M",63,109,1,0
"LN-T23_M",60,111,2,0
"LN-T16_M",62,109,2,0
"LN-T26_F",165,6,2,0
"LN-T24_M",68,103,2,0
"LN-T1_M",59,112,2,0
"LN-T2_F",167,4,2,0
"LN-T3_F",167,4,2,0
"LN-T14_M",70,101,2,0
"LN-T4_M",167,4,2,0
"LN-T11_M",57,114,0,2
"LN-T21_M",63,108,2,0
"LN-T5_F",167,4,2,0
"LN-T6_M",66,105,2,0
"LN-T7_M",63,108,2,0
"LN-T25",68,102,3,0
"LN-T19_M",168,3,2,0
"LN-T10_M",66,105,2,0
"LN-T15_M",59,111,3,0
"LN-T12_M",70,101,2,0
"LN-T13_F",165,6,0,2
